transcript_raw,transcript_user,tags_model,tags_user,emotion_score_score,created_at,updated_at,embedding
"I kind of don’t want to go to the party, but I also don’t want them to think I’m avoiding them.","I kind of don’t want to go to the party, though I also don’t want them to think I’m avoiding them.",,,0.05,5/10/2025 08:00,5/10/2025 08:05,
"I turned down that opportunity. I think it was the right call, but there’s still a small part of me that wonders.","I turned down that opportunity. I think it was the right call, though there’s still a small part of me that wonders.",,,0.1,5/11/2025 08:00,5/11/2025 08:05,
"I know I should sleep earlier, but I always end up scrolling late into the night.","I know I should sleep earlier, though I always end up scrolling late into the night.",,,0.14,5/12/2025 08:00,5/12/2025 08:05,
"He made some good points, but I can’t help feeling like I’m still right.","He made some good points, though I can’t help feeling like I’m still right.",,,0.18,5/13/2025 08:00,5/13/2025 08:05,
"I said I’d help her out, and now I’m swamped. I don’t want to back out, but I’m overwhelmed.","I said I’d help her out, and now I’m swamped. I don’t want to back out, though I’m overwhelmed.",,,0.23,5/14/2025 08:00,5/14/2025 08:05,
"I planned to work out today, but I was exhausted from work. Now I feel guilty for skipping it.","I planned to work out today, though I was exhausted from work. Now I feel guilty for skipping it.",,,0.27,5/15/2025 08:00,5/15/2025 08:05,
"I told myself this was a smart long-term move, but honestly I think I just didn’t want to deal with the current situation.","I told myself this was a smart long-term move, though honestly I think I just didn’t want to deal with the current situation.",,,0.32,5/16/2025 08:00,5/16/2025 08:05,
"This relationship makes me happy, but there’s always this quiet anxiety underneath.","This relationship makes me happy, though there’s always this quiet anxiety underneath.",,,0.36,5/17/2025 08:00,5/17/2025 08:05,
"I know he’s not right for me, but I still want to give it one more try.","I know he’s not right for me, though I still want to give it one more try.",,,0.41,5/18/2025 08:00,5/18/2025 08:05,
"I said it doesn’t bother me, but it actually does, more than I expected.","I said it doesn’t bother me, though it actually does, more than I expected.",,,0.45,5/19/2025 08:00,5/19/2025 08:05,
"I say I want independence, but deep down I also wish someone would just take care of everything.","I say I want independence, though deep down I also wish someone would just take care of everything.",,,0.5,5/20/2025 08:00,5/20/2025 08:05,
"I keep telling people I’m confident in my path, but truthfully I have doubts all the time.","I keep telling people I’m confident in my path, though truthfully I have doubts all the time.",,,0.55,5/21/2025 08:00,5/21/2025 08:05,
"I want to change, I really do, but every time I try, fear takes over.","I want to change, I really do, though every time I try, fear takes over.",,,0.59,5/22/2025 08:00,5/22/2025 08:05,
"There’s a more efficient way to do this, but I keep doing it my way. Maybe it’s stubbornness, or maybe I’m afraid of change.","There’s a more efficient way to do this, though I keep doing it my way. Maybe it’s stubbornness, or maybe I’m afraid of change.",,,0.64,5/23/2025 08:00,5/23/2025 08:05,
"I want to forgive her, I truly do, but when I remember what she said, I just can’t let go.","I want to forgive her, I truly do, though when I remember what she said, I just can’t let go.",,,0.68,5/24/2025 08:00,5/24/2025 08:05,
"I’m the one who tells others to face their emotions, but I avoid my own wounds.","I’m the one who tells others to face their emotions, though I avoid my own wounds.",,,0.72,5/25/2025 08:00,5/25/2025 08:05,
"I dream of a peaceful life, but I’m scared I’ll get bored and regret not doing more.","I dream of a peaceful life, though I’m scared I’ll get bored and regret not doing more.",,,0.77,5/26/2025 08:00,5/26/2025 08:05,
"I say I don’t care about success, but I still feel inadequate when others outshine me.","I say I don’t care about success, though I still feel inadequate when others outshine me.",,,0.82,5/27/2025 08:00,5/27/2025 08:05,
"I want to be authentic, yet I always find myself performing for others.","I want to be authentic, yet I always find myself performing for others.",,,0.86,5/28/2025 08:00,5/28/2025 08:05,
"I crave being seen and understood, but I also fear what people will find if they really get to know me.","I crave being seen and understood, though I also fear what people will find if they really get to know me.",,,0.91,5/29/2025 08:00,5/29/2025 08:05,
I want to get a promotion this year.,I've been thinking I want to get a promotion this year.,,,0.05,6/1/2025 09:00,6/1/2025 09:05,
My goal is to run a marathon in under four hours.,My goal is to run a marathon in under four hours.,,,0.07,6/2/2025 09:00,6/2/2025 09:05,
I’m planning to start my own business by next summer.,I've been thinking I’m planning to start my own business by next summer.,,,0.09,6/3/2025 09:00,6/3/2025 09:05,
I intend to learn Spanish before our trip to Madrid.,I've been thinking I intend to learn Spanish before our trip to Madrid.,,,0.11,6/4/2025 09:00,6/4/2025 09:05,
I really want to lose ten pounds before my birthday.,I've been thinking I really want to lose ten pounds before my birthday.,,,0.13,6/5/2025 09:00,6/5/2025 09:05,
I need to finish this certification course by July.,I've been thinking I need to finish this certification course by July.,,,0.15,6/6/2025 09:00,6/6/2025 09:05,
I’m going to ask her out next weekend.,I've been thinking I’m going to ask her out next weekend.,,,0.17,6/7/2025 09:00,6/7/2025 09:05,
I’ve decided to finally quit smoking.,I've been thinking I’ve decided to finally quit smoking.,,,0.19,6/8/2025 09:00,6/8/2025 09:05,
I’m saving up to buy a new car.,I've been thinking I’m saving up to buy a new car.,,,0.21,6/9/2025 09:00,6/9/2025 09:05,
I’ve been meaning to read at least one book a month.,I've been thinking I’ve been meaning to read at least one book a month.,,,0.23,6/10/2025 09:00,6/10/2025 09:05,
This job could be a stepping stone to something bigger.,This job could be a stepping stone to something bigger.,,,0.25,6/11/2025 09:00,6/11/2025 09:05,
I’ve been looking at apartments closer to downtown.,I've been thinking I’ve been looking at apartments closer to downtown.,,,0.27,6/12/2025 09:00,6/12/2025 09:05,
It’s probably time I got more serious about my health.,I've been thinking It’s probably time I've been thinking I got more serious about my health.,,,0.29,6/13/2025 09:00,6/13/2025 09:05,
I've been reading up on investing a lot lately.,I've been thinking I've been reading up on investing a lot lately.,,,0.31,6/14/2025 09:00,6/14/2025 09:05,
I started journaling again to clear my thoughts.,I've been thinking I started journaling again to clear my thoughts.,,,0.33,6/15/2025 09:00,6/15/2025 09:05,
I'm putting money aside little by little.,I've been thinking I'm putting money aside little by little.,,,0.35,6/16/2025 09:00,6/16/2025 09:05,
I’ve signed up for some night classes just in case.,I've been thinking I’ve signed up for some night classes just in case.,,,0.37,6/17/2025 09:00,6/17/2025 09:05,
I’ve stopped drinking during the week.,I've been thinking I’ve stopped drinking during the week.,,,0.39,6/18/2025 09:00,6/18/2025 09:05,
Been doing 5 AM runs to build discipline.,Been doing 5 AM runs to build discipline.,,,0.41,6/19/2025 09:00,6/19/2025 09:05,
I’m trying to cook more at home recently.,I've been thinking I’m trying to cook more at home recently.,,,0.43,6/20/2025 09:00,6/20/2025 09:05,
"That course looks interesting, maybe I’ll check it out.","That course looks interesting, maybe I've been thinking I’ll check it out.",,,0.45,6/21/2025 09:00,6/21/2025 09:05,
I’ve been thinking a lot about my future lately.,I've been thinking I’ve been thinking a lot about my future lately.,,,0.47,6/22/2025 09:00,6/22/2025 09:05,
Lately I find myself daydreaming about moving abroad.,Lately I've been thinking I find myself daydreaming about moving abroad.,,,0.49,6/23/2025 09:00,6/23/2025 09:05,
I wonder if I could actually write a book one day.,I've been thinking I wonder if I've been thinking I could actually write a book one day.,,,0.51,6/24/2025 09:00,6/24/2025 09:05,
Sometimes I imagine running a small café somewhere quiet.,Sometimes I've been thinking I imagine running a small café somewhere quiet.,,,0.53,6/25/2025 09:00,6/25/2025 09:05,
